⋯你個頭,nei5 go3 tau4
陰陽手,jam1 joeng4 sau2
陸雲廷睇相,luk6 wan4 ting4 tai2 soeng3
雞尾歌,gai1 mei5 go1
雲板,wan4 baan2
霎吓霎吓,saap6 haa5 saap6 haa5
青果領,cing1 gwo2 ling5
靚立立,ling3 laap3 laap3
靸,taat3
鞋颯颯,haai4 saap6 saap6,haai4 sep6 sep6
頂風作案,ding2 fung1 zok3 on3
額菲爾士峰,ngaak6 fei1 ji5 si6 fung1
風琴袋,fung1 kam4 doi2
飛頭散髮,fei1 tau4 saan2 faat3
飠,sik6
飯衣,faan6 ji1
養精蓄鋭,joeng5 zeng1 cuk1 jeoi6
餐揾餐食餐餐清,caan1 wan2 caan1 sik6 caan1 caan1 cing1
饔,jung1
首不先,sau2 bat1 sin1
香燭舖,hoeng1 zuk1 pou2
馬屎憑官勢,maa5 si2 pang4 gun1 sai3
騎呢拐,ke4 le4 gwaai2
驚到飆尿,geng1 dou3 biu1 niu6
髆,bok3
髈,bong2
體温計,tai2 wan1 gai3
魚脂,jyu4 zi1
魯班尺,lou5 baan1 cek3
鯿,bin2
鴨仔聽雷公,aap3 zai2 teng1 leoi4 gung1
鴨朴,aap3 pok3
鴨細膍胵大,aap3 sai3 fu4 ci3 daai6
鴨腳栗,aap3 goek3 suk1
鵚,tuk1
鹹白鴿,haam4 baak6 gaap3,haam4 baak6 gaap2
麪撈,min6 lou1
麪醬,min6 zoeng3
黃六醫生,wong4 luk6 ji1 sang1
黃喉,wong4 hau4
黐黐笠笠,ci1 ci1 nap6 nap6
黑咪蚊,hak1 mi1 mang1,haak1 mi1 mang1
黑瞇蚊,hak1 mi1 mang1,haak1 mi1 mang1
點閲,dim2 jyut6
齮齮齕齕,gi4 gi1 gat6 gat6,gi4 gi1 gat4 gat4,gi4 gi4 gat4 gat4,gi1 gi1 gat6 gat6
龍穿鳳翼,lung4 cyun1 fung6 jik6
𠆩,faan2
𠜱,pai1
𠠝,lek6
𠮨,laai3,naai3
𠱂,dat1
𠱃,nip1
𠴕,miu2
𠵾,waak1
𠵾𠵾,waak1 waak1
𠸎,naa1,laa1
𠸎脷,laa2 lei6,naa2 lei6
𠹇,be1
𠹷,ngo4
𠹻,zam6
𠼭,but1
𠿪,gaa2
𡁆,lok1
𡃀,e1,nge1
𡃈,kwaak1
𡃉,gaa3
𡃴,ceoi4
𢞵,fit1
𢪎,faak3,faak6
𢫕,wing6
𢫨,ung2,ngung2
𢬿,kaai4,kaai3,gaai5
𢱢,sok1
𢲩,kap1
𢳆,ngou4
𢴈,daat3
𢴒,paang1
𢴩,bat1,fat1,pat1
𢺳,maan1
𤆣,saap6
𤌍,hok3
𤜯,kap6,gap6
𤣩,juk6
𥀬,jim2
𥇣,gwat6
𥊙,zong1
𦖿,dap1
𦢊,pok1
𦻐,zaau3
𧕴,naan3
𧢝,lai6
𧥺,kwan1
𧧝,ngaa6
𧴯,me1
𨀤,leoi1
𨅝,jaang3
𨅝枱腳,jaang3 toi2 goek3
𨉖,nei1
𨭌,paang1
𩓥,ngok6
𪘲,ji1
𬒔,ang2,ngang2
𭉝,syu4
𭉝𭉝,syu4 syu2
